,Text,Target
18,"Entrepreneurship isn\xe2\x80\x99t easy: it requires 24X7 dedication that blurs the lines between personal and professional lives at times.\n\nThis is not a snap, especially when you are a woman with a young child to take care of.\n\nOften Beating all odds, Women leaders in India of multi-million dollar start ups have proved that they balance it all-work, children,home.\n\nDivya Gokulnath is one such example of a woman who juggles her multiple roles with much success.\n\nIn 2011, she co-founded the world\xe2\x80\x99s most valuable ed-tech start-up currently with over 42 million registered students and 3 million annual paid subscriptions.\n\nThe start-up is now valued at a whooping $13Bn and is backed by prominent VCs like Tiger Global, General Atlantic, Tencent, and Sequoia Capital.\n\nDivyas net worth today is Rs 1800 cr!!\n\nThis is just a tip of the ice-berg, there are a plethora of such examples in India where women are at the pinnacle of an industry, leading their business & family through troughs and peaks.\n\nCan you hear the women roar in the Indian startup society? :) """,0
19,"Allow the Business Designz experts increase the inflow of quality traffic to your site, using white hat SEO techniques.\n\nVisit us at ",0
20,"To determine whether a borrower will be able to meet credit or the loan repayment requirements smoothly, financial institutions largely depend on credit scores provided by credit bureaus.\n\nHeres why a credit score is and why a good credit score matters. """,0
21,"Happy to Share!\n\nMy research paper titled, Online Shopping: Do Men Behave Differently than Women? got published in \xf0\x9d\x90\x88\xf0\x9d\x90\xa7\xf0\x9d\x90\xad\xf0\x9d\x90\x9e\xf0\x9d\x90\xab\xf0\x9d\x90\xa7\xf0\x9d\x90\x9a\xf0\x9d\x90\xad\xf0\x9d\x90\xa2\xf0\x9d\x90\xa8\xf0\x9d\x90\xa7\xf0\x9d\x90\x9a\xf0\x9d\x90\xa5 \xf0\x9d\x90\x8c\xf0\x9d\x90\x9a\xf0\x9d\x90\xa7\xf0\x9d\x90\x9a\xf0\x9d\x90\xa0\xf0\x9d\x90\x9e\xf0\x9d\x90\xa6\xf0\x9d\x90\x9e\xf0\x9d\x90\xa7\xf0\x9d\x90\xad \xf0\x9d\x90\x91\xf0\x9d\x90\x9e\xf0\x9d\x90\xaf\xf0\x9d\x90\xa2\xf0\x9d\x90\x9e\xf0\x9d\x90\xb0, \xf0\x9d\x90\x9a \xf0\x9d\x90\x94\xf0\x9d\x90\x86\xf0\x9d\x90\x82-\xf0\x9d\x90\x82\xf0\x9d\x90\x80\xf0\x9d\x90\x91\xf0\x9d\x90\x84 \xf0\x9d\x90\x8b\xf0\x9d\x90\xa2\xf0\x9d\x90\xac\xf0\x9d\x90\xad\xf0\x9d\x90\x9e\xf0\x9d\x90\x9d \xf0\x9d\x90\x89\xf0\x9d\x90\xa8\xf0\x9d\x90\xae\xf0\x9d\x90\xab\xf0\x9d\x90\xa7\xf0\x9d\x90\x9a\xf0\x9d\x90\xa5.\n\nThanks to for your guidance and support, as always!\n\nThanks to and Dr. Arindam Saha for this opportunity. """,0
22,"Namaste from India \xf0\x9f\x99\x8f #india\n\nSpace success stories \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\n\nNasa, has shared and image\nof cosmic rose.\xf0\x9f\x8c\xb9\xf0\x9f\x8c\xb9\n\nso, incredible to see beauty\nof space.\xf0\x9f\x93\xa1\xf0\x9f\x9b\xb0\xef\xb8\x8f\xf0\x9f\x9b\xb0\xef\xb8\x8f\n\nWhenever,it comes to reading\nor learning about space\nour excitement is getting doubled.\n\nBecause,it is human mind achivements. ",0
23,"I am elated to announce that I have joined Bain & Company as a Summer Associate.\n\nSummer internships are one of the most crucial phases of the two years we spend in a B-school, and I am incredibly fortunate that I have got the opportunity to intern at Bain. I am looking forward to working with the fellow Bainies and developing myself both professionally and personally during these nine weeks.\n\nI would like to thank for welcoming us into the family and ensuring a smooth virtual onboarding, even in these challenging times. ",0
24,"If you\xe2\x80\x99re buying a house for the first time, navigating that process can feel overwhelming. Fortunately, there are education courses to help first-time homebuyers wade through all this information, and become better prepared to make a purchase. ",0
25,"More than 21,000 tested positive after first dose of either Covishield or Covaxin, while over 5,500 tested positive after second dose.\n\nStay home, stay safe! ",0
26,"Its finally official.\n\nAfter 3+ years of journey with #PowerBI, I am Microsoft Certified Data Analyst Associate after passing the DA-100 exam!\nSpecial thanks to , , for detailed contents on youtube and to all my seniors and peers who helped me with the learning curve. """,0
27,"We started Cogno AI with a small 2-member team at Hostel 3, Room 347 of IIT Bombay. Since then, we\ve come a long way: 85+ members in the team and 50+ Enterprise Clients.\n\nThe Company was incorporated on 21st April 2017 and today we are proud to announce our 4th birthday! Here is a picture of me accepting our very first purchase order from the State Bank of India. The State Bank Group Companies remain to be our client to date.\n\nOn this occasion, I would like to sincerely thank our customers, mentors, advisors, and most importantly all the team members who have supported us in this journey.\n\n""Coming together is a beginning. Keeping together is progress. Working together is Success"" ",0
28,"Remdesivir vaccination required urgently for my father admitted in ICU, please contact ,+91-9891404012 for any help, as Primus hospital, delhi is not able to provide it, also public sale is not happening.\xf0\x9f\x99\x8fkaran khanna ",0
29,"There are companies looking to remake life insurance shopping. Start-up companies, especially, have been looking to uproot and replace the traditional life insurance buying experience with something that\xe2\x80\x99s, dare we say, delightful. ",0
30,"An incident happened this past Sunday where a Delhi-based woman replied \xe2\x80\x9cI will kiss my husband. Can you stop me?\xe2\x80\x9d when the policeman asked her and the husband to wear masks.\n\nThey were roaming in their car without taking the curfew pass and without wearing the mask.\n\nAnd that\xe2\x80\x99s how she replies to a person, who\xe2\x80\x99s tasked to ensure our safety.\n\nI don\xe2\x80\x99t understand how insensitive our society has become towards those who\xe2\x80\x99re trying to save our lives.\n\nThe healthcare workers and police are putting their lives at risk so that we could remain safe from the virus.\n\nBut instead of respecting them, people like her are abusing them.\n\nHow is this fair?\n\nI understand the pandemic has stretched too far, and we all want to get back to our normal lives, but that\xe2\x80\x99s not possible right now.\n\nSo, why don\xe2\x80\x99t we accept it and do what needs to be done, instead of reacting like her?\n\nTell me, is staying at home and keeping away from the virus really that bad?\n\nI don\xe2\x80\x99t think so.\n\nHere\xe2\x80\x99s the link- ",0
31,"After a phenomenal 2 years stint building the Early Career Programs & Sourcing Strategy for APAC, I would be taking up the Technology Hiring Leader role at Optum - Part of UnitedHealth Group family.\n\nA heartfelt gratitude to & for entrusting me with this opportunity.\n\nI am looking forward to connecting with Tech & Product Enthusiasts who are keen to play a role in redefining healthcare leveraging genomics, IoT and citizen facing applications.\n\nAlso as we build our capabilities, passionate recruiters can touch base with me who want to do their\n\n# ",0
32,"Thank you Team @OutlookIndia for the feature \xf0\x9f\x98\x8a !!\n\nMeet Brajesh Kumar Singh, A Blogger Who Made Destiny Bow To Him ",0
33,"All,\n\nVirtual Campus Recruitment is ongoing for colleges.\n\nPlease help me out to reach Engineering/Arts college Training and placement officers mail ID.\n\nOr\n\nRequest you to drop me the college brochure to this mail id\n\nEligibility : Engineering colleges, Arts colleges (Preferably BCA,Bsc CS, MCA)\n\nJob Location: Pune,Mumbai, Bangalore, Chennai, Delhi NCR, Chandigarh, Kolkata,Ranchi, Hyderabad. (Based on Students Choice)\n\nRole: Associate Software Engineer (Full time)\n\nYear of pass out: 2020 & 2021.\n\nNote: Did you already completed the campus with us? No worries share the students list we are ready to consider even if they havent shortlisted in the earlier process.\n____________________________________________________\n\nIndividuals,\n\nRequest you not to share your resume as I hire ONLY from Campus Placement colleges. """,1
34,"After nearly 3 years in Apple - hiring for the best products and services in the world, I take on my next journey with another best in class, incredible company! Truly grateful for the opportunity to have been part of Apples innovation, mission and people.\n\nLooking forward to hitting play button on this next Chapter@ """,1
35,"The population figures go like this -\n\nUSA - 33.1 Crores\nRussia -14.6 Crores\nGermany - 8.5 Crores\nTurkey - 8.4 Crores\nUK - 6.8 Crores\nFrance - 6.5 Crores\nItaly - 6.1 Crores\nSpain - 4.7 Crores\nPoland - 3.8 Crores\nRomania - 1.9 Crores\nNetherlands - 1.7 Crores\nGreece - 1.7 Crores\nBelgium -1.2 Crores\nCzech Republic - 1.1 Crores\nPortugal - 1.1 Crores\nSweden - 1 Crore\nHungary - 1 Crore\nSwitzerland - 0.9 Crore\nBulgaria - 0.7 Crore\nDenmark - 0.6 Crore\n\n*Total* - 105. 3 Crores\n\nThe rest of the 25 smaller European countries combined (there are 44 countries in the European continent) - 6 Crores\n\n*Europe - 105.3 + 6 = 111.3 Crores*\n\nAdding the populations of Brazil (21.2 Crores) and Argentina (4.45 Crores)\n\n111.3 Crores + 25.65 Crores = 136.95 Crores\n\n\nThus, finally you have arrived at lndias population figure of 136 - 138 Crores.\n\n*The implication of managing Covid19 in lndia is as enormous task as managing it in the entire Europe plus USA, Brazil and Argentina.\n\nIts easy to criticise!!\n\n*And, some of our own do their best to run down our own country !*\n\nWorth a Thought \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\nLong Live \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\n\nReshare to spread Positivity..!! """,0
36,"Home sellers have a royal flush in today\xe2\x80\x99s housing market. Although the road is mostly smooth, there are some steps sellers can take to maximize their returns while also avoiding risky buyers whose offers might evaporate. #forbesadvisor ",0
37,"Mr. Developer\xe2\x80\x94 ""How can you tell the difference between HTML and HTML5?""\n\nMiss Developer\xe2\x80\x94 ""Open it in Internet Explorer""\nMr. Developer\xe2\x80\x94 ""Ok""\nMiss Developer \xe2\x80\x94 ""Did it work?""\nMr. Developer \xe2\x80\x94 ""No""\nMiss Developer \xe2\x80\x94 ""It\xe2\x80\x99s HTML5""\n\nCredit: Anonymous ",0
38,"\xf0\x9d\x97\xa8\xf0\x9d\x97\xa5\xf0\x9d\x97\x9a\xf0\x9d\x97\x98\xf0\x9d\x97\xa1\xf0\x9d\x97\xa7 - \xf0\x9d\x97\xa1\xf0\x9d\x97\xb2\xf0\x9d\x97\xb2\xf0\x9d\x97\xb1 \xf0\x9d\x97\xa5\xf0\x9d\x97\xb2\xf0\x9d\x97\xba\xf0\x9d\x97\xb1\xf0\x9d\x97\xb2\xf0\x9d\x98\x80\xf0\x9d\x97\xb6\xf0\x9d\x98\x83\xf0\x9d\x97\xb6\xf0\x9d\x97\xbf \xf0\x9d\x9f\xb1 \xf0\x9d\x97\xb1\xf0\x9d\x97\xbc\xf0\x9d\x98\x80\xf0\x9d\x97\xb2\xf0\x9d\x98\x80 \xf0\x9d\x97\x9f\xf0\x9d\x98\x82\xf0\x9d\x97\xb0\xf0\x9d\x97\xb8\xf0\x9d\x97\xbb\xf0\x9d\x97\xbc\xf0\x9d\x98\x84, \xf0\x9d\x97\xa8\xf0\x9d\x98\x81\xf0\x9d\x98\x81\xf0\x9d\x97\xae\xf0\x9d\x97\xbf \xf0\x9d\x97\xa3\xf0\x9d\x97\xbf\xf0\x9d\x97\xae\xf0\x9d\x97\xb1\xf0\x9d\x97\xb2\xf0\x9d\x98\x80\xf0\x9d\x97\xb5 \xf0\x9d\x97\xb3\xf0\x9d\x97\xbc\xf0\x9d\x97\xbf \xf0\x9d\x97\xae \xf0\x9d\x97\xb0\xf0\x9d\x97\xbf\xf0\x9d\x97\xb6\xf0\x9d\x98\x81\xf0\x9d\x97\xb6\xf0\x9d\x97\xb0\xf0\x9d\x97\xae\xf0\x9d\x97\xb9 \xf0\x9d\x97\xbd\xf0\x9d\x97\xae\xf0\x9d\x98\x81\xf0\x9d\x97\xb6\xf0\x9d\x97\xb2\xf0\x9d\x97\xbb\xf0\x9d\x98\x81.\nI would be very grateful if anyone in my network can help or if you know anyone who can help then please tag him/her.\n\nThanks! ",0
39,"I am very excited to share that I have joined DoorDash as Senior Software Developer. I am very thankful to Wishwas Mohan and Ryan Batra for supporting me through the hiring process.\n\nI would also like to thank all the people I have worked with at for all the valuable learnings and experience!!\n\nI cannot wait to see where this new chapter of my career will take me, and to grow and learn. ",0
40,"The greatest glory in living lies not in never falling, but in rising every time we fall."" - ... \xf0\x9f\x99\x8f\xf0\x9f\x8c\xb9\xf0\x9f\x8e\xbb\n""If life were predictable it would cease to be life, and be without flavor."" -\xe2\x9d\xa4\xef\xb8\x8f\n\n\nNamaste, Hello Merhaba all linkedin friends from India .\xf0\x9f\x99\x8f\n\nDuring ,covid pandamic people\nfrom across the globe are\nundergoing various levels \xf0\x9f\xa7\x98\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa7\x98\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa7\x98\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\n\nof stress , anxiety, depression\nvarious health and mental issues.\n\nBereavement, isolation, loss of income and fear are triggering mental health conditions or exacerbating existing ones.\n\n\nMany people may be facing increased levels of alcohol and drug use, insomnia, and anxiety.\n\nMeanwhile, COVID-19 itself can\nlead to neurological and mental complications, such as delirium, agitation, and stroke. \xf0\x9f\x98\xad\xf0\x9f\x98\xad\n\nPeople with pre-existing mental, neurological or substance use \xf0\x9f\xa7\x98\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\n\ndisorders are also more vulnerable to SARS-CoV-2 infection \xcc\xb6 they may stand a higher risk of severe outcomes .\n\n\xe2\x80\x9cDuring times of crisis, self-care is often difficult to maintain.\n\n\nBecause many of us are busy keeping the fires in our lives from spreading,\n\nwe\xe2\x80\x99re usually too fatigued to practice mindful eating, exercise or other refueling activities. \xf0\x9f\xa7\x98\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa7\x98\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x8e\xba ",0
41,"How do you decide whether to pursue cash back rewards or flexible points? What are the merits of each? Are there any pitfalls? How do you make this call? Heres what you need to know. #forbesadvisor """,0
42,"Hopefully, umbrellas, wallets and keys will never get lost again.\n\n#apple #airtags ",0
43,"Hi Reader,\nCleverTap is hiring!!\n1) Frontend Engineer\n2) Backend Engineer\n3) Quality Assurance Engineer\n4) Customer Success Manager\n5) Intern - Communication and PR\n6) Lead Technical Writer\n7) Product Manager\nand many more...\nIf you feel you are suitable for any of the above job titles feel free to fill the google form below. I will refer you if you have the desired skills. ",1
44,Bravo \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f#israel ,0
45,"The pandemic is turning out to be the longest, hardest marathon imaginable. While many countries are looking forward with a degree of optimism, let\xe2\x80\x99s also remember that others are not so fortunate. In India, where many of our teams are based, for example, there were over 272k new cases on Monday and Delhi has now gone into a full lockdown.\n\nThese recent surges are clearly putting a strain on local resources, not to mention everyone\xe2\x80\x99s resilience.\n\nMy thoughts are with the whole Genpact community and customers working across the world, especially in places that are dealing with new waves of the disease. It goes without saying that we stand with you and encourage everyone to put the health and wellbeing of themselves, their families and communities first. ",0
46,"Hello everyone,\nI am glad to share my story of preparing for GATE EC 2021 with FindMyTest\xe2\x84\xa2 team.\nCheck it out. I hope that my little experience will help future aspirants especially third-year students. ",0
47,"Appreciate the good work to encourage the good work. So here goes.\n\nCoding Blocks, youre awesome!\n\nI posted a query on behalf of my sister, Anamika M., in the early morning. Wasnt expecting anything until the next day, but before I could take my lunch, I got the response and the resolution.\n\nDuring this interaction I learned that Coding Blocks support team is down with Covid, and we should all wish for their quick recovery, as I do.\n\nDespite that, the haste with which things were settled is not only impressive, but also reenforces the belief in the ethics, the sincerity, and the commitment of the institution towards the development community.\n\nI was in the same DTU2K12 batch with and when Coding Blocks was setup. And though I did not have any interaction with them, we are all aware of the quality of their talent and ethics. would do herself a huge favor by absorbing in their knowledge, the experience, and the passion that has been afforded to her.\n\nI would like to thank for reaching out, opening a channel when the usual ones were not available. And I thank for helping with the resolution and his polite demeanor.\n\ncc - """,0
48,"Dogecoin was originally created at least in part as a lighthearted joke for crypto enthusiasts, and took its name from a once-popular meme. Dogecoin has exploded in popularity in 2021 and has become the fifth largest cryptocurrency by market cap. ",0
49,"So, I have been receiving many requests to share my interview experience. And I finally am done with it! \xf0\x9f\x8c\xb8\n\nHeres my interview experience with :\n\n\nAnd heres my interview experience with :\n\nI had a wonderful experience with both the companies. \xe2\x9d\xa4\n\nIn the blogs, along with my experience, I also have shared some tips I felt would be helpful and some resources that I followed. However, hoping to share a collection of all the resources I have come across, soon! \xf0\x9f\x92\xab """,0
50,"A year ago, she had no coding skills. Today, she is a support engineer intern at Microsoft! Find out how Haimantika Mitra taught herself to code during the pandemic with Microsoft Learn and launched her career in tech. #DigitalSkills ",0
51,No words to describe the situation in India right now. I don\xe2\x80\x99t think anyone here has seen anything like it in living memory. My oped today in The New York Times #india\n\nhttps://lnkd.in/gpsvQiG ,0
52,Glad to share my very first task of #GRIPAPRIL21 at the sparks foundation basaed on web development where i have to create banking website.\n\ngithub link:\nyoutube: ,0
53,"I made my choice! Vote for Bridget (Strong) Benson today for National Board of Directors for Society of Clinical Research Associates (SOCRA)! Note: voting ends on April 23, 2021. #Black Women In Clinical Research\xe2\x84\xa2 #votenow ",0
54,"India is in the midst of the second wave of the virus, with over 2.34 Lakh new COVID Cases reported in the last 24 hours,\n\nData mapping can help identify communities that are relatively vulnerable and needy, thereby playing an instrumental role in reducing mortality rates.\n\ncovers how Data Mapping can make the distribution of COVID-19 vaccines more efficient in an article by :\n\n\nReach out to us: ",0
55,"Previously we have tier 1 colleges, now we have tier 1 companies.\n\nPreviously we have tier 1 students, now we have tier 1 professionals.\n\nThis one is for those who keep on crying that we dont get a chance bcoz we are tier 3. Buddy, this is the world we live in, and at every point of time you will be evaluated on the basis of your knowledge.\n\nIn 12th, we were evaluated on the basis of the PCM knowledge, now we are getting evaluated on the basis of domain skills. Tier 1 indicates the best out of the best, so its totally okk. They have given their everything to be there and they deserve to get appreciated.\n\nSomeone can be tier 1 in a particular domain and tier 3 in another domain. So, stop crying on and posting that no one is giving you a chance. They have worked their hell out to be in Tier 1 and thats why they are getting privileges of on campus opportunities. We wasted our time, so we need to work more than them now to get upto their level.\n\nThe freshers have gone through a major hit of off campus due to Covid. Request to 2021, keep calm and wait untill you are graduate, you will get lot of opportunities. Till then, keep practising and keep trying.\n\nPS :- I am a tier 3 as well as 2021 graduate. """,0
56,FROM YOUTUBE COMMENT SECTION\xf0\x9f\x92\xaf\n\nHOW MUCH DO YOU AGREE WITH IT? \xf0\x9f\x99\x82\n\nCHILDHOOD AT STAKE \xf0\x9f\x91\x80\n\nThis Seriousness Is Good ? ,0
57,#MicrosoftAzure\nThank you\xf0\x9f\x91\x8d for this certification.. ,0
58,"Im delighted to share that I have been selected for the Intuit mentorship program- Intuit Nurture and Augment 2021.\n\nI am looking forward to augmenting my skill-set and growing to be a confident technologist in the future. """,0
59,I am #learning #python and you ,0
60,"The SAU community has a history of speaking out against racism and other social injustices. We remain committed to providing a safe place for our students to express themselves.\n\nOur greatest hope is that our University, our country and the entire world can strive to be better, not just today, but every day.\n\nIt is our collective goal that the entire SAU community, nation and world will learn from these incidents and ultimately our students, will continue to lead the way in bridging the chasms that exist. \xf0\x9f\x90\xa6\xf0\x9f\x92\x99\xe2\x9c\x8a\xf0\x9f\x8f\xbe ",0
61,"#Britannia MilkBikiss new banter is a lighthearted pun\n\nAn apt choice of actor, like who can take this pun better than him,\n\nHaa Ji, Naa Ji, Kyun Ji.......is that subconscious G ??? :D\n\nCompelling one to watch this ad many many more times,\n\nThis is the third on the list of direct attack ads ( Vs and vs ), whilst this very is less rebellious, hugely laugh laudable\n\n\n\nThe fun will be to witness the Parle G (real Ji)s a defense to this banter\n\nMilkBikis and Parle G have a quite similar product offering(raw materials plus marginal price points)so the USP is thrown into the story as the actor persuaded like Internation school asynchronous to sadharan biscuit!!\n\nChintu Ji holding a biscuit similar to Parle G packaging (done strategically)\n\n\n\nWhat is your understanding of this pun? What can be Parle Gs next move?\n\nI would not be surprised if Parle G spills to Vikis Biki as dhudh roti arey naa naa Ji, Tennis ho yeah aasaradhan padhai, chahe baas Glucose Ji, Jii kiya? Haaaa Jiiii sirf Parle G, school ho national yeah international,dijiye baas Asli G!\n\n\n\n\n\n# """,0
62,"Lets commence the battle of chess, crushing each others mind, to pronounce the CHECKMATE proudly!\n\n\n\n\n+44 20 3287 8700. """,0
63,#PHARMA SALES\n#hiring #pharmaceutical #medical representative\n\nJOB LOCATION-: BIHAR (ANY AREA) ,1
64,"The UI of workat.tech website is amazing.\n\nIt is even more beautiful on mobile.\n\nI use or pocket a lot to save and read articles as it will be easy to read.\n\nBut Whenever I see articles on I save them and read them directly on the website.\n\nI first read the article about Machine Coding Round for Flipkart and I felt the content and the UI is amazing on that day.\n\nThere is something thats making reading more interesting on the website.\n\nThe UI/UX team should be appreciated for their efforts in making the website simple yet beautiful.\n\nAmazing work. Keep up the good work. """,0
